tempo,lugar,setor,valor_x,QL_x,M_x,Kr,Ks,ICE,ICS,valor_y,QL_y,M_y,C,D,Co_r,Di_r,Co_s,Di_s,ICDC,ICUC
2022,12,1211,88139.66,0.46672816523321,0,71,3,-0.905321812588033,0.295982825462773,3088.72,0.011786668122971408,0,0,0,22,22,3,0,0.0,1.0
2022,13,1211,205841.18,0.2325306644860162,0,132,3,0.9635674822356259,0.295982825462773,11168.89,0.007203396760544573,0,0,0,64,34,3,0,0.30612244897959184,1.0
2022,14,1211,104871.9,0.8580002244345625,0,101,3,-0.8005991309600616,0.295982825462773,2863.4,0.014440625947815552,0,0,0,29,42,3,0,-0.18309859154929578,1.0
2022,15,1211,265859.13,0.16881780089518061,0,127,3,-0.865805404840025,0.295982825462773,1253637.75,0.5263261947878259,0,0,0,65,42,3,0,0.21495327102803738,1.0
2022,17,1211,99939.65,0.24211041751948825,0,87,3,-1.1406666261376524,0.295982825462773,152330.13,0.1973557490471467,0,0,0,36,31,3,0,0.07462686567164178,1.0
2022,21,1211,33935.24,0.03481317928070982,0,98,3,-0.9747683997394654,0.295982825462773,45370.08,0.03271730241992904,0,0,0,41,40,3,0,0.012345679012345678,1.0
2022,23,1211,1397090.43,0.7993103463322768,0,145,3,0.19656801220447823,0.295982825462773,4815924.16,1.521328156613563,1,0,0,74,52,3,0,0.1746031746031746,1.0
2022,24,1211,156782.51,0.21549841622322527,0,119,3,-0.42417850125818135,0.295982825462773,51040.58,0.04765585356208056,0,0,0,66,45,3,0,0.1891891891891892,1.0
2022,25,1211,639834.18,0.8695785162208111,0,107,3,-0.49279991839682596,0.295982825462773,10392910.68,14.135485772789735,1,0,0,55,33,3,0,0.25,1.0
2022,26,1211,488130.65,0.2533771981945707,0,178,3,0.20141770687139868,0.295982825462773,1330355.03,0.463568192903857,0,0,0,87,65,3,0,0.14473684210526316,1.0
2022,27,1211,106545.3,0.17892464304612243,0,88,3,-0.6258161837883032,0.295982825462773,207489.72,0.2806783981039224,0,0,0,41,23,3,0,0.28125,1.0
2022,28,1211,72759.06,0.15724613085994618,0,113,3,-0.5237642321274852,0.295982825462773,2008.92,0.003975996693036305,0,0,0,43,34,3,0,0.11688311688311688,1.0
2022,29,1211,1807718.01,0.6594411771978737,0,185,3,-0.414412851921629,0.295982825462773,10335570.89,2.0767430654292047,1,0,0,92,70,3,0,0.13580246913580246,1.0
2022,31,1211,18091940.91,2.926349799955081,1,245,3,0.4027053862241134,0.295982825462773,31737201.07,2.2781413359871108,1,1,0,156,78,3,0,0.3333333333333333,1.0
2022,32,1211,802065.45,0.7009207758962007,0,205,3,0.3206478808019373,0.295982825462773,4851488.15,1.8206312028896998,1,0,0,110,70,3,0,0.2222222222222222,1.0
2022,33,1211,2984839.37,0.47148580780235944,0,189,3,1.5017861398696477,0.295982825462773,1350708.67,0.0701431496988866,0,0,0,63,106,3,0,-0.25443786982248523,1.0
2022,35,1211,25125318.81,1.1224501874155692,1,398,3,2.527654633380877,0.295982825462773,64353641.14,1.2160653016338634,1,1,0,294,99,3,0,0.4961832061068702,1.0
2022,41,1211,2877359.38,0.6530159957440094,0,283,3,1.360404121589458,0.295982825462773,4517240.79,0.3651159517667463,0,0,0,159,104,3,0,0.20912547528517111,1.0
2022,42,1211,872693.77,0.254914293945699,0,268,3,1.6137367799271582,0.295982825462773,2545010.38,0.24445997142653375,0,0,0,170,86,3,0,0.328125,1.0
2022,43,1211,3327877.0300000003,0.798065203139684,0,248,3,1.4063703732174837,0.295982825462773,12392525.610000001,1.2000643677604472,1,0,0,178,59,3,0,0.5021097046413502,1.0
2022,50,1211,419541.57,0.43195919315561027,0,132,3,-0.5597758561905196,0.295982825462773,260952.05,0.13453772627312593,0,0,0,74,35,3,0,0.3577981651376147,1.0
2022,51,1211,776637.92,0.5826848622365463,0,112,3,-0.8213564437208803,0.295982825462773,436725.63,0.09106697587230303,0,0,0,57,48,3,0,0.08571428571428572,1.0
2022,52,1211,6733570.739999999,3.28876225132268,1,197,3,-0.1672898435729361,0.295982825462773,9020779.48,1.8602731995852604,1,1,0,134,47,3,0,0.48066298342541436,1.0
2022,53,1211,1925399.85,0.6565856398466516,0,61,3,0.8043240000436759,0.295982825462773,503525.03,0.11427907043023906,0,0,0,28,21,3,0,0.14285714285714285,1.0
2022,15,1229,179563.24,0.22891878093537882,0,127,3,-0.865805404840025,0.45536483409647005,793.8,0.001036412458943741,0,0,0,65,42,1,2,0.21495327102803738,-0.3333333333333333
2022,17,1229,59973.729999999996,0.2916983984087377,0,87,3,-1.1406666261376524,0.45536483409647005,14511.27,0.05846662151722512,0,0,0,36,31,1,2,0.07462686567164178,-0.3333333333333333
2022,21,1229,55211.9,0.1137163172175208,0,98,3,-0.9747683997394654,0.45536483409647005,32.58,7.306302179439971e-05,0,0,0,41,40,1,2,0.012345679012345678,-0.3333333333333333
